Date,Open,High,Low,Close,Adj Close,Volume,Interest_Rate,Oil_Price
12/22/2017,157.309998,157.429993,156.949997,157.369995,152.972763,23330400,2.39,58.25
12/26/2017,156.490005,156.720001,155.949997,156.520004,152.146545,21918700,2.46,59.55
12/27/2017,156.529999,156.960007,156.389999,156.539993,152.16597,22388200,2.49,59.67
12/28/2017,157.039993,157.070007,156.539993,156.729996,152.350616,25393800,2.48,59.84
12/29/2017,156.869995,156.899994,155.699997,155.759995,151.407745,33186000,2.48,60.46
1/2/2018,156.559998,158.529999,156.169998,158.490005,154.061493,32573300,0,60.37
1/3/2018,158.639999,160.169998,158.610001,160.029999,155.558411,29383600,2.47,61.61
1/4/2018,160.580002,160.789993,160.080002,160.309998,155.830597,24776100,2.42,61.98
1/5/2018,161.070007,162.029999,160.770004,161.919998,157.395615,26992300,2.43,61.49
1/8/2018,161.919998,162.630005,161.860001,162.550003,158.008011,23159100,2.4,61.73
1/9/2018,162.869995,163.039993,162.070007,162.559998,158.017761,24782400,0,62.92
1/10/2018,161.839996,162.210007,161.119995,162.179993,157.648361,34004000,2.46,63.6
1/11/2018,162.460007,163.300003,162.210007,163.289993,158.727356,20473500,2.44,63.81
1/12/2018,163.149994,164.660004,162.940002,164.490005,159.893845,37762700,2.46,64.22
1/16/2018,165.580002,166.419998,163.529999,164.020004,159.436981,41231800,2.47,63.82
1/17/2018,164.800003,166.039993,164,165.789993,161.157516,33849900,2.49,63.92
1/18/2018,165.529999,166.199997,165.139999,165.820007,161.186646,26432200,2.55,63.96
1/19/2018,166.309998,166.610001,165.539993,166.339996,161.692139,38937600,2.55,63.38
1/22/2018,166.279999,168.119995,166.089996,168.119995,163.422394,26081400,2.54,63.66
1/23/2018,168.639999,169.660004,168.559998,169.509995,164.77356,37989700,2.55,64.45
1/24/2018,169.869995,170.240005,167.440002,168.410004,163.704285,54287400,0,65.69
1/25/2018,169.570007,169.630005,167.809998,168.350006,163.645981,28925000,2.54,65.62
1/26/2018,169.289993,170.949997,168.960007,170.929993,166.153854,32038200,2.57,66.27
1/29/2018,170.570007,170.910004,169.740005,170.100006,165.347092,37277800,2.62,65.71
1/30/2018,168.550003,169.419998,167.820007,168.699997,163.98616,44987700,2.64,64.64
1/31/2018,169.649994,169.990005,168.339996,169.399994,164.666611,42449200,2.66,64.82
2/1/2018,168.100006,169.729996,167.419998,167.960007,163.266876,38037900,2.63,65.92
2/2/2018,167.300003,167.699997,164.470001,164.610001,160.010483,68478100,2.65,65.5
2/5/2018,163.070007,165.75,158,158.119995,153.701828,105372200,2.63,64.18
2/6/2018,155.809998,162.509995,155.100006,162.309998,157.774719,118537900,2.66,63.48
2/7/2018,161.789993,163.550003,160.199997,160.210007,155.733429,91028300,2.7,61.91
2/8/2018,160.619995,160.800003,153.449997,153.449997,149.162292,94184800,2.73,61.3
2/9/2018,155.619995,157.240005,150.130005,156.100006,151.738251,113836600,2.72,59.2
2/12/2018,157.699997,159.949997,156.460007,158.869995,154.430847,63050600,2.78,59.41
2/13/2018,157.960007,160.009995,157.720001,159.690002,155.227951,31785600,2.84,59.33
2/14/2018,158.75,162.929993,158,162.679993,158.134415,52107400,2.77,60.7
2/15/2018,164.139999,165.699997,162.440002,165.699997,161.069992,51633900,2.79,61.48
2/16/2018,165.160004,166.759995,164.679993,164.960007,160.350708,62256300,2.84,61.89
2/20/2018,164.380005,166.679993,164.309998,165.289993,160.671463,36785600,2.85,61.91
2/21/2018,166.100006,167.720001,164.720001,164.820007,160.21463,41161800,2.83,61.73
2/22/2018,165.539993,166.419998,164.380005,164.800003,160.195175,37074400,2.86,62.72
2/23/2018,166.130005,168.169998,165.449997,168.169998,163.470993,50096900,2.83,63.52
2/26/2018,168.960007,170.399994,168.820007,170.399994,165.638672,39266700,2.91,63.81
